GENERATION,STORY,Broken Links,Self-Referential Links,External Links,Linking Facts,Fair Report,Providing Context,Other,Total Links,Website Name
3,"Poll: Americans vent disappointment with Trump ahead of his 100th day, especially on tariffs",0,2,1,0,1,1,1,3,NBC News
3,Poll: Trump's job ratings stay negative; Americans express strong support for vaccines,0,4,1,0,2,2,1,5,NBC News
3,NBC News Decision Desk Poll Results,0,0,1,0,0,0,1,1,NBC News
2,Where Americans stand on immigration,0,0,0,0,0,0,0,0,Ipsos
2,Where Americans stand on immigration,0,0,0,0,0,0,0,0,Ipsos
2,"Less than 14% of those arrested by ICE in Trump's 1st year back in office had violent criminal records, document shows",0,5,1,3,3,0,0,6,CBS News
3,U.S. sent 238 migrants to Salvadoran mega-prison; documents indicate most have no apparent criminal records,0,6,0,0,2,4,0,6,CBS News
3,"Men detained in El Salvador's notorious prison detail harrowing experiences: ""You're in hell""",0,6,0,0,1,5,0,6,CBS News
3,ICE Annual Report,0,0,0,0,0,0,0,0,ICE
3,CBS News poll finds support for Trump's deportation program falls; Americans call for more focus on prices,0,4,0,0,0,4,0,4,CBS News
3,"The number of non-criminal detainees arrested by ICE has surged by 2,000% under Trump. These charts show who's in detention.",0,1,1,0,2,0,0,2,CBS News
3,CBS News poll finds more Americans say ICE being too tough; Republicans feel protesters have gone too far,0,3,0,0,0,3,0,3,CBS News
2,Petition,0,0,0,0,0,0,0,0,Court Listener
2,The photo of 5-year-old Liam Ramos being detained by ICE is a shameful look for America,0,1,6,0,2,5,0,7,MS Now
3,Detention of 5-Year-Old by Federal Agents Incenses Minneapolis,0,0,0,0,0,0,0,0,New York Times
3,Columbia Heights Public Schools Speaks Out About ICE Presence in Minnesota,0,0,0,0,0,0,0,0,Adobe
3,JD Vance Defends ICE Detainment of 5-Year-Old Boy and His Father Returning Home from Preschool: 'What Are They Supposed to Do?',0,5,4,1,5,3,0,9,People
3,DHS denies that ICE used a 5-year-old as ‘bait’ to catch his dad,0,1,5,2,3,1,0,6,MS Now
3,White Mobs Violently Riot Against Six-Year-Old Ruby Bridges Integrating Elementary School,0,0,0,0,0,0,0,0,Equal Justice Initiative
3,The Children's March Photo Gallery | Shuttlesworth,0,0,0,0,0,0,0,0,PBS
3,ICE Officers Overwhelmingly Use Their Discretion to Detain LGBT Immigrants,0,0,0,0,0,0,0,0,American Progress
2,‘Flatly false’: Kilmar Abrego Garcia’s lawyers call out Trump admin’s ‘shocking’ conduct,0,7,4,6,2,3,0,11,MS Now
3,‘Outright lying’: Judge blasts Trump enforcer as SCOTUS mulls giving Trump more power,0,5,9,5,3,6,0,14,MS Now
3,Judge Boasberg finds probable cause to hold Trump administration in contempt,0,5,6,4,4,3,0,11,MS Now
3,Judge warns against Trump officials’ ‘troubling’ remarks about Kilmar Abrego Garcia,0,6,13,10,4,5,0,19,MS Now
3,"KRISTI NOEM, SECRETARY, DEPARTMENT OF HOMELAND SECURITY, ET AL. v. KILMAR ARMANDO ABREGO GARCIA, ET AL.",0,0,0,0,0,0,0,0,Supreme Court
3,Kilmar Abrego Garcia returns to the U.S. and will face human smuggling charges in Tennessee,0,3,8,9,2,0,0,11,MS Now
3,Kilmar Abrego Garcia ruling shows how Trump’s vindictive prosecutions can backfire,0,10,4,6,1,7,0,14,MS Now
3,Immigration Proceedings,0,0,0,0,0,0,0,0,Court Listener
3,Abrego’s criminal case was always a farce. The government’s latest actions show why.,0,10,19,5,3,11,0,29,MS Now
3,"UNITED STATES OF AMERICA v. KILMAR ARMANDO ABREGO GARCIA,",0,0,0,0,0,0,0,0,Court Listener
3,"Costa Rica says it would accept Kilmar Abrego García, contradicting U.S.",0,2,0,1,1,0,0,2,Washington Post
3,"Judge dismisses Comey and James indictments, says Halligan unlawfully appointed",0,11,3,8,2,4,0,14,MS Now
2,Trump’s America is a secret policeman’s paradise,0,13,7,7,8,5,0,20,MS Now
3,DOJ doing civil rights investigation of Pretti killing after all,0,6,2,5,1,2,0,8,MS Now
3,It’s a terrifying time for free speech and civil liberties in Trump’s America,0,19,6,16,3,7,0,25,MS Now
3,Kavanaugh’s infamous September concurring opinion is already being weaponized by Trump,0,0,13,10,2,2,0,13,MS Now
3,‘Bald-faced lie’: Joe calls out Secy. Noem for calling Minneapolis woman a domestic terrorist  ,0,0,0,0,0,0,0,0,MS Now
3,"No civil rights violation probe into latest Minnesota shooting, sources tell MS NOW",0,2,1,1,2,0,0,3,MS Now
3,Federal officials deny Minnesota state investigators access following Pretti’s killing,0,0,3,2,1,0,0,3,MS Now
3,The investigation would now be led solely by the FBI,0,0,0,0,0,0,0,0,Associated Press
3,"DOJ sought to probe Renee Good for criminal liability, even after her death: Sources",0,3,2,2,2,1,0,5,MS Now
3,Why Republicans responded differently to Alex Pretti’s killing,0,0,11,3,7,1,0,11,MS Now
3,Kristi Noem Accuses Journalist of Trying to 'Dox' ICE Agent Who Fatally Shot Renee Good by Saying His Name on Live TV,0,10,8,6,2,10,0,18,People
3,Lawmakers ask why the agent who shot and killed Alex Pretti is still on the job,0,0,3,1,2,0,0,3,MS Now
3,Senator Rand Paul,0,0,0,0,0,0,0,0,X
3,The White House’s offensive against blue states goes from bad to worse,0,4,5,2,5,2,0,9,MS Now
3,New Video Analysis Reveals Flawed and Fatal Decisions in Shooting of Pretti,0,0,0,0,0,0,0,0,New York Times
3,Greg Bovino’s documented lies should have kept him out of Minnesota to begin with,0,5,3,5,2,0,0,8,MS Now
3,Gregory Bovino speaks on 'choice to vilify law enforcement' after deadly Minneapolis shooting,0,0,0,0,0,0,0,0,Youtube
3,ICE told agents they can enter homes without a judicial warrant — and hid it from the public,0,0,17,12,5,0,0,17,MS Now
3,"Alex Pretti broke rib in confrontation with federal agents a week before death, sources say",0,0,0,0,0,0,0,0,CNN
3,"ICE Is Scanning Civilians’ Faces, Telling Them They’re Being Entered Into a Terrorism Database",0,0,5,1,4,0,0,5,Futurism
3,“I Erase Your Voice”: ICE Agents Threaten People After Alex Pretti,0,0,5,2,2,1,0,,Yahoo
2,Where Americans stand on immigration,0,0,0,0,0,0,0,0,Ipsos
2,"What independents think of Trump’s recent immigration actions, according to a new AP-NORC poll",0,3,0,1,2,0,0,3,Associated Press
3,Most adults perceive gender gaps in pay and promotion opportunities,0,0,0,0,0,0,0,0,Apnorc
3,"Border czar says Minnesota immigration crackdown is over, after angry protests and 2 fatal shootings",0,16,0,10,2,5,0,16,Associated Press
3,The public is concerned about Trump’s policy priorities,0,4,0,2,2,0,0,4,Apnorc
2,The calamitous influence of Stephen Miller has become impossible to ignore,0,6,17,13,7,3,0,23,MS Now
3,Conservative judge slams lack of due process in Abrego Garcia case,0,8,21,21,1,7,0,29,MS Now
3,Judge in Abrego Garcia case blasts ‘mischaracterization’ of Supreme Court order,0,2,14,13,0,3,0,16,MS Now
3,Trump’s DOJ lawyers paint a misleading picture of Supreme Court’s Abrego Garcia order,0,3,9,7,0,5,0,12,MS Now
3,Stephen Miller Has a Plan,0,4,5,7,0,2,0,9,The Atlantic
3,What to Know About Abrego Garcia and His Second Detention,0,8,3,8,1,2,0,11,New York Times
3,Stephen Miller contradicts DOJ court docs on man mistakenly deported,0,3,2,3,0,2,0,5,The Hill
3,Fact-checking Nayib Bukele and Trump officials on Kilmar Abrego Garcia's deportation,0,0,15,11,3,1,0,15,NBC Miami
3,Justice Dept. Accuses Top Immigration Lawyer of Failing to Follow Orders,0,2,0,0,1,1,0,2,New York Times
3,El Salvador's president says he won't return mistakenly deported man to U.S.,0,4,1,2,0,3,0,5,NBC News
3,Justice Department fires immigration lawyer who argued case of mistakenly deported man,0,1,1,1,1,0,0,2,CNN
3,In the Supreme Court of the United States,0,0,0,0,0,0,0,0,Supreme Court
3,Stephen Miller Snaps at Fox Host Over Supreme Court Deportee Ruling: ‘We Won!’,0,0,3,3,0,0,0,3,Mediaite
3,What the Abrego Garcia Dispute Is Really About,0,7,6,4,2,7,0,13,National Review
3,Read the Full Transcript of Donald Trump’s ‘100 Days’ Interview With TIME,0,2,0,1,0,1,0,2,Time
3,"Case No.: 8:25-CV-00951-PX, Abrego Garcia et al. v. Noem et al.",0,0,0,0,0,0,0,0,Court Listener
3,Judge in Abrego Garcia case blasts ‘mischaracterization’ of Supreme Court order,0,2,15,14,0,3,0,17,MS Now
3,U.S. sent 238 migrants to Salvadoran mega-prison; documents indicate most have no apparent criminal records,0,7,0,3,1,3,0,7,CBS News
3,"Saturday, April 19, 2025",0,0,0,0,0,0,0,0,Supreme Court
3,‘One million.’ The private goal driving Trump’s push for mass deportations.,0,11,2,8,1,4,0,13,Washington Post
3,‘One million.’ The private goal driving Trump’s push for mass deportations.,0,11,2,8,1,4,0,13,Washington Post
3,"Trump’s immigration ratings turn negative, Post-ABC-Ipsos poll finds",0,5,2,3,3,1,0,7,Washington Post
2,436 days into Donald Trump's term,0,1,0,1,0,0,0,1,The Economist
3,Kristi Noem’s ignoble legacy as homeland-security secretary,0,1,0,1,0,0,0,1,The Economist
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
